"text","created","url","latitude","longitude","retweets","hashtag"
"Steve Ells wanted to open a fine-dining restaurant, instead he built a burrito empire https://t.co/LjsZMbluMG",2017-11-29 22:15:34,"https://twitter.com/DeShaunsMrk/status/935995677032828928",NA,NA,0,"chipotle"
"Steve Ells wanted to open a fine-dining restaurant, instead he built a burrito empire https://t.co/i6fz39Ulk4",2017-11-29 22:15:31,"https://twitter.com/EmpComLLC/status/935995666756767744",NA,NA,0,"chipotle"
"Chipotle &lt; https://t.co/U9TBQZU7E2",2017-11-29 22:15:28,"https://twitter.com/FlyKlark/status/935995654266122240",NA,NA,0,"chipotle"
"For the first time I actually finished my chipotle bowl in one sitting",2017-11-29 22:15:12,"https://twitter.com/brookethecroook/status/935995588272721920",NA,NA,0,"chipotle"
"Would it be inappropriate to ask my Econ professor to boost my grade as he stands in line in front of me at chipotle",2017-11-29 22:15:10,"https://twitter.com/nadms13/status/935995579284455424",NA,NA,0,"chipotle"
"Is Chipotle Mexican food?",2017-11-29 22:14:47,"https://twitter.com/CluelessInCLE/status/935995480701628420",NA,NA,0,"chipotle"
"My stomach is so full from that chipotle<ed><a0><bd><ed><b8><a9>",2017-11-29 22:14:43,"https://twitter.com/_JusSHAWNNA/status/935995465732108288",NA,NA,0,"chipotle"
"@jacksuno There was no fresh ass available so I ate chipotle . Next time tho",2017-11-29 22:14:33,"https://twitter.com/eveiscruzzin/status/935995424191668225",NA,NA,0,"chipotle"
"@ChipotleTweets ily chipotle but whyyy is the sour cream in my bowl in lumps https://t.co/IlbQLKHmXp",2017-11-29 22:14:33,"https://twitter.com/jackieeereyes/status/935995421998108674",NA,NA,0,"chipotle"
"@brittneyj0nes I miss chipotle",2017-11-29 22:14:11,"https://twitter.com/kaylahapike/status/935995332458156032",NA,NA,0,"chipotle"
"""Troubled Chipotle Replacing Its C.E.O., Founder Steve Ells"" by TIFFANY HSU via NYT https://t.co/7QJ5u0ca32",2017-11-29 22:14:06,"https://twitter.com/dariadiffe/status/935995311922794496",NA,NA,0,"chipotle"
"Go to Chipotle on 665 and say your there for Teays Valley Baseball! <e2><9a><be><ef><b8><8f> Tonight 5-9 https://t.co/i1VSIDlpsS",2017-11-29 22:14:06,"https://twitter.com/brettcarson_40/status/935995308563189762",NA,NA,0,"chipotle"
"Do I get chipotle or subway?",2017-11-29 22:13:59,"https://twitter.com/graciehansen15/status/935995280645869579",NA,NA,0,"chipotle"
"Nothing is more pure than a classic bowl from the local Chipotle and The Office. 
***
***
***
Except maybe Christma<e2><80><a6> https://t.co/E7gJoYY872",2017-11-29 22:13:50,"https://twitter.com/kmbreslin1/status/935995242381217792",NA,NA,0,"chipotle"
